time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_pupils,t_FSM_eligible,pt_FSM_eligible
201920,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CPPO at 31 March,146,123,84.2
201920,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CPPO at 31 March,121,85,70.2
201920,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CPPO at 31 March,242,167,69
201920,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CPPO at 31 March,196,131,66.8
201920,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CPPO at 31 March,61,54,88.5
201920,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CPPO at 31 March,235,170,72.3
201920,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CPPO at 31 March,181,136,75.1
201920,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CPPO at 31 March,71,55,77.5
201920,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CPPO at 31 March,168,120,71.4
201920,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CPPO at 31 March,90,85,94.4
201920,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CPPO at 31 March,406,272,67
201920,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CPPO at 31 March,88,70,79.5
201920,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CPPO at 31 March,113,82,72.6
201920,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CPPO at 31 March,375,288,76.8
201920,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CPPO at 31 March,330,247,74.8
201920,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CPPO at 31 March,287,238,82.9
201920,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CPPO at 31 March,239,175,73.2
201920,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CPPO at 31 March,193,143,74.1
201920,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CPPO at 31 March,330,246,74.5
201920,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CPPO at 31 March,140,102,72.9
201920,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CPPO at 31 March,113,88,77.9
201920,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CPPO at 31 March,103,82,79.6
201920,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CPPO at 31 March,212,171,80.7
201920,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CPPO at 31 March,144,90,62.5
201920,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CPPO at 31 March,91,73,80.2
201920,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CPPO at 31 March,213,147,69
201920,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CPPO at 31 March,180,133,73.9
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,Barnsley,E08000016,CPPO at 31 March,162,133,82.1
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,Bradford,E08000032,CPPO at 31 March,602,432,71.8
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,Calderdale,E08000033,CPPO at 31 March,156,115,73.7
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,Doncaster,E08000017,CPPO at 31 March,177,121,68.4
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,East Riding of Yorkshire,E06000011,CPPO at 31 March,135,88,65.2
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,Kingston upon Hull City of,E06000010,CPPO at 31 March,319,241,75.5
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,Kirklees,E08000034,CPPO at 31 March,252,165,65.5
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,Leeds,E08000035,CPPO at 31 March,363,273,75.2
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,North East Lincolnshire,E06000012,CPPO at 31 March,248,169,68.1
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,North Lincolnshire,E06000013,CPPO at 31 March,48,32,66.7
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,North Yorkshire,E10000023,CPPO at 31 March,163,135,82.8
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,Rotherham,E08000018,CPPO at 31 March,164,114,69.5
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,Sheffield,E08000019,CPPO at 31 March,448,330,73.7
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,Wakefield,E08000036,CPPO at 31 March,325,242,74.5
201920,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,York,E06000014,CPPO at 31 March,159,102,64.2
201920,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,CPPO at 31 March,247,164,66.4
201920,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,CPPO at 31 March,573,433,75.6
201920,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,Leicester,E06000016,CPPO at 31 March,151,109,72.2
201920,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,Leicestershire,E10000018,CPPO at 31 March,272,167,61.4
201920,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,Lincolnshire,E10000019,CPPO at 31 March,185,134,72.4
201920,Academic year,Local authority,E92000001,England,E12000004,East Midlands,928,Northamptonshire,E10000021,CPPO at 31 March,484,331,68.4
201920,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,Nottingham,E06000018,CPPO at 31 March,244,182,74.6
